Statistical profiling result from profResultCLG-v8.log, (10074 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   7578   75.2%          /usr/bin/node
    133    1.3%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
      5    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      4    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
     81    0.8%    3.4%  LazyCompile: *parse /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     78    0.8%    3.3%  LazyCompile: *wrap /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     42    0.4%    1.8%  LazyCompile: *SourceNode_walk /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/source-map/lib/source-node.js:221:53
     40    0.4%    1.7%  LazyCompile: *next /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     26    0.3%    1.1%  LazyCompile: *resolve node:path:1091:10
     25    0.2%    1.1%  LazyCompile: *compile /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     19    0.2%    0.8%  RegExp: [ \t]+$
     15    0.1%    0.6%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
     15    0.1%    0.6%  RegExp: (?:\r\n?|\n).*
     15    0.1%    0.6%  LazyCompile: *step /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     15    0.1%    0.6%  LazyCompile: *WhitespaceControl.Program /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
     14    0.1%    0.6%  LazyCompile: *generateList /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
     12    0.1%    0.5%  LazyCompile: *castChunk /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
     12    0.1%    0.5%  LazyCompile: *anonymous /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     10    0.1%    0.4%  LazyCompile: *deserializeObject /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/bson/lib/parser/deserializer.js:65:27
     10    0.1%    0.4%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/source-map/lib/source-node.js:174:29
      9    0.1%    0.4%  LazyCompile: *normalizeString node:path:66:25
      9    0.1%    0.4%  LazyCompile: *next /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express/lib/router/index.js:177:16
      9    0.1%    0.4%  LazyCompile: *_write node:internal/streams/writable:284:16
      9    0.1%    0.4%  LazyCompile: *SourceNode_add /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/source-map/lib/source-node.js:172:51
      8    0.1%    0.3%  RegExp: \r?\n\s*?$
      8    0.1%    0.3%  LazyCompile: *setupParams /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      8    0.1%    0.3%  LazyCompile: *makeAbs /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/glob/common.js:203:18
      8    0.1%    0.3%  LazyCompile: *extend /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      7    0.1%    0.3%  LazyCompile: *relative node:path:1190:11
      7    0.1%    0.3%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      7    0.1%    0.3%  LazyCompile: *emit node:events:475:44
      6    0.1%    0.3%  LazyCompile: *preparePath /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
